execution_date,date,residual
1989-11-01,1976-03-01,-0.17495415331590491
1989-11-01,1976-02-01,1.1364560064785127
1989-11-01,1976-01-01,-0.8765277506491114
1989-11-01,1975-12-01,-0.798480235798734
1989-11-01,1975-11-01,0.7339203070067204
1989-11-01,1975-10-01,-2.242537542449403
1989-11-01,1975-09-01,0.7592806951652458
1989-11-01,1975-08-01,0.5355403133637022
1989-11-01,1975-07-01,0.8972493452544237
1989-11-01,1975-06-01,0.8563220449093927
1989-11-01,1975-05-01,-2.5554751044033894
1989-11-01,1975-04-01,2.8650645182355143
1989-11-01,1975-03-01,-0.5194111116106608
1989-11-01,1975-02-01,-1.7443386008933413
1989-11-01,1975-01-01,-0.614806992577582
1989-11-01,1974-12-01,0.059626025689564544
1989-11-01,1974-11-01,-1.5451346182564372
1989-11-01,1974-10-01,-4.297002066651724
1989-11-01,1974-09-01,3.0836350479076353
1989-11-01,1974-08-01,-1.4221031501570112
1989-11-01,1974-06-01,3.4046866372284184
1989-11-01,1981-01-01,-1.5245818912769133
1989-11-01,1989-11-01,-0.4431606691125207
1989-11-01,1981-03-01,-0.0692297897711307
1989-11-01,1987-08-01,0.1965653229196619
1989-11-01,1987-07-01,-0.9347835834672631
1989-11-01,1987-06-01,-0.4446637696123308
1989-11-01,1987-05-01,0.5802346320809124
1989-11-01,1987-04-01,1.9914593769430122
1989-11-01,1987-03-01,-0.6827587046135942
1989-11-01,1987-02-01,-0.11042886241787697
1989-11-01,1987-01-01,-0.4110652696679402
1989-11-01,1986-12-01,-0.6026515734169369
1989-11-01,1986-11-01,-0.8736596673262507
1989-11-01,1986-10-01,-0.7388418916994437
1989-11-01,1986-09-01,0.27381977190272
1989-11-01,1986-08-01,-1.3290794484177813
1989-11-01,1986-07-01,-1.0484010973489553
1989-11-01,1986-06-01,-0.05280628757644629
1989-11-01,1986-05-01,-0.12275358414503705
1989-11-01,1986-04-01,-0.1670879053241693
1989-11-01,1986-03-01,-0.37898666092248773
1989-11-01,1986-02-01,0.554223309946492
1989-11-01,1986-01-01,-0.5967137779255358
1989-11-01,1985-12-01,-0.9178997387925857
1989-11-01,1985-11-01,-0.6691199192774555
1989-11-01,1985-10-01,-0.9231843439535505
1989-11-01,1987-09-01,0.6435171274065707
1989-11-01,1985-09-01,-0.45618059315875925
1989-11-01,1987-10-01,-0.053300492360567775
1989-11-01,1987-12-01,-0.12540853300173915
1989-11-01,1972-04-01,-1.1940412548420212
1989-11-01,1989-10-01,-1.5896299920569528
1989-11-01,1989-09-01,0.16805540279983222
1989-11-01,1989-08-01,2.2748810760065576
1989-11-01,1989-07-01,-2.072461530767736
1989-11-01,1989-06-01,-1.0773180036793903
1989-11-01,1989-05-01,-1.089289185552827
