execution_date,mse,r_squared,rmse,maturity
1997-11-01,1.5970223174814981,-2.5812514987947512,1.263733483564275,9.0 years
1997-12-01,1.5489060524245277,-2.210790661416981,1.2445505423342709,9.0 years
1998-01-01,1.3718550929312114,-1.6815993453315423,1.1712621794163813,9.0 years
1998-02-01,1.572424366106749,-1.8484316618376164,1.253963462827665,9.0 years
1998-03-01,1.6762788853226172,-1.8723901476061675,1.2947118927864287,9.0 years
1998-04-01,1.762806717072014,-1.8822156905725227,1.327707316042212,9.0 years
1998-05-01,1.7544693742658235,-1.628721268899723,1.3245638430312914,9.0 years
1998-06-01,1.7352436267780105,-1.4363892983448396,1.3172864634459776,9.0 years
1998-07-01,1.7962354817999526,-1.5069446813471488,1.3402370990984964,9.0 years
1998-08-01,1.3241184882454025,-0.8341235447984012,1.1507034753773027,9.0 years
1998-09-01,1.0895845350711335,-0.4801129823145538,1.0438316603126836,9.0 years
1998-10-01,1.1479440601902877,-0.5477105273827991,1.0714215137798417,9.0 years
1998-11-01,1.1974176410637216,-0.6003667257134813,1.0942658000064343,9.0 years
1998-12-01,1.1923088586681523,-0.5768633649432533,1.0919289622810415,9.0 years
1999-01-01,1.2162526386155583,-0.585099169533615,1.1028384462900984,9.0 years
1999-02-01,1.7110445973095543,-1.1727809060434882,1.3080690338470498,9.0 years
1999-03-01,1.7450988561955276,-1.1481405235919002,1.3210218984541957,9.0 years
1999-04-01,1.8352729074398104,-1.251819125604118,1.3547224466435221,9.0 years
1999-05-01,2.1081838200235494,-1.6044181956187393,1.451958615120813,9.0 years
1999-06-01,2.2531489383324894,-1.8147305292885076,1.5010492791152759,9.0 years
1999-07-01,2.445431752236125,-2.1118903508602442,1.5637876301583042,9.0 years
1999-08-01,2.5896207799767255,-2.342995790045355,1.609229871701593,9.0 years
1999-09-01,2.5616334431943293,-2.347029969482565,1.6005103695991254,9.0 years
1999-10-01,2.7509396266602946,-2.658548021699702,1.6585956790792307,9.0 years
1999-11-01,2.9591614082271045,-3.098344316435078,1.7202213253611014,9.0 years
1999-12-01,3.3050502335735286,-3.862478856580025,1.8179797120907397,9.0 years
2000-01-01,3.645745350848025,-4.84425509988648,1.909383500203148,9.0 years
2000-02-01,3.4791597122749898,-5.07002596108524,1.8652505762698453,9.0 years
2000-03-01,3.026582635865743,-4.575700051336334,1.739707629421031,9.0 years
2000-04-01,3.324420610076722,-5.585674735562134,1.8232993747809825,9.0 years
2000-05-01,3.514318093888794,-6.584098553098688,1.8746514593088481,9.0 years
2000-06-01,3.3035583165731333,-6.608414737979177,1.8175693429889086,9.0 years
2000-07-01,3.3064281615059383,-7.297861985101152,1.8183586449064273,9.0 years
2000-08-01,3.129830615070324,-7.386913877141199,1.7691327296362827,9.0 years
2000-09-01,3.21841333790242,-8.443748686309457,1.7939936839081736,9.0 years
2000-10-01,3.109234228546288,-8.989931052647604,1.7633020809113473,9.0 years
2000-11-01,2.6950637680544864,-8.191266159848398,1.6416649378160229,9.0 years
2000-12-01,2.2207737307781197,-6.795817641721776,1.4902260670039695,9.0 years
2001-01-01,2.1946809270960186,-6.940210875513268,1.481445553199988,9.0 years
2001-02-01,1.9240763140252821,-6.082790481864461,1.387110779290999,9.0 years
2001-03-01,1.9872376487606318,-6.405995267231298,1.4096941685204745,9.0 years
2001-04-01,2.59298436629983,-9.12944227499021,1.6102746244972719,9.0 years
2001-05-01,2.606361153051258,-9.649209542160708,1.6144228544750159,9.0 years
2001-06-01,2.6112200486100976,-10.226708002520603,1.615926993589159,9.0 years
2001-07-01,2.0087362108971205,-7.772294566031681,1.4172989137430116,9.0 years
2001-08-01,1.7544887772971467,-6.787369774351015,1.324571167320634,9.0 years
2001-09-01,1.3561273834888945,-5.042979394859741,1.1645288246706882,9.0 years
2001-10-01,0.8402112714208467,-2.7364354090775493,0.916630389754151,9.0 years
2001-11-01,1.5260120182397414,-5.892975495543481,1.2353185897733998,9.0 years
2001-12-01,1.9832998135801767,-8.34758760613707,1.4082967775224713,9.0 years
2002-01-01,1.8906333839207372,-8.20937268379676,1.37500304869507,9.0 years
2002-02-01,1.7038628375771228,-7.576893062889463,1.305320971093747,9.0 years
2002-03-01,2.506625140263918,-13.257085331001642,1.5832324972232972,9.0 years
2002-04-01,1.964055325363625,-10.924678984502696,1.4014475820963213,9.0 years
2002-05-01,1.8426639143050783,-10.572567952020792,1.357447573317319,9.0 years
2002-06-01,1.46149258120693,-8.007589286619734,1.2089220740837392,9.0 years
2002-07-01,0.9252988844673592,-4.6235922965061045,0.9619245731695178,9.0 years
2002-08-01,0.45219872451350246,-1.746431325146272,0.6724572287614302,9.0 years
2002-09-01,0.08378561754155037,0.46386782143333294,0.2894574537674758,9.0 years
2002-10-01,0.1904825714105169,-0.24541636865024952,0.4364430906894012,9.0 years
2002-11-01,0.4773484910040099,-2.067680507904424,0.6909041112947656,9.0 years
2002-12-01,0.14794664525255377,0.02831051123754491,0.3846383304515474,9.0 years
2003-01-01,0.2550724651329803,-0.596341308807032,0.5050469929946918,9.0 years
2003-02-01,0.15875708773459446,0.03045507322262453,0.39844333064388776,9.0 years
2003-03-01,0.21987028151048343,-0.264736723511408,0.4689032752183369,9.0 years
2003-04-01,0.24220579928766342,-0.37616163404048386,0.4921440838694126,9.0 years
2003-05-01,0.352468020462858,-1.2150151922654087,0.5936901721124058,9.0 years
2003-06-01,0.2664764176938906,-0.7937118286757616,0.516213538851792,9.0 years
2003-07-01,0.7169818144519976,-3.7471906630388894,0.8467477868007672,9.0 years
2003-08-01,0.7456732806342207,-3.7779207042730674,0.8635237580021876,9.0 years
2003-09-01,0.34509536096013077,-1.1994686731616997,0.5874481772549225,9.0 years
2003-10-01,0.5943511943249091,-2.758443877674121,0.7709417580627664,9.0 years
2003-11-01,0.6709160900668478,-2.513795522873725,0.8190946771081155,9.0 years
2003-12-01,0.7348075860390042,-1.7434815458303703,0.8572091845279098,9.0 years
2004-01-01,0.7191151594361447,-1.3874322654015097,0.8480065798306902,9.0 years
2004-02-01,0.6532326744233553,-1.0023639351246332,0.8082281079146872,9.0 years
2004-03-01,0.6703998629035647,-0.8169821050149384,0.8187794958983552,9.0 years
2004-04-01,1.2169974990894326,-2.1289630344745563,1.103176096137617,9.0 years
2004-05-01,1.4036547407905497,-2.562197980158341,1.1847593598661923,9.0 years
2004-06-01,1.3590369920757686,-2.41994829268459,1.1657774196113804,9.0 years
2004-07-01,1.3210047367667919,-2.2838301073514438,1.1493497016864762,9.0 years
2004-08-01,1.011250150459609,-1.466762582432211,1.0056093428661097,9.0 years
2004-09-01,1.0330477726328524,-1.4573241928128704,1.016389577196093,9.0 years
2004-10-01,0.985884106475886,-1.2990873890628203,0.9929169685708297,9.0 years
2004-11-01,1.3051519660861595,-1.9579779955260737,1.1424324776922965,9.0 years
2004-12-01,1.1740573237482805,-1.6578345531872616,1.0835392580558771,9.0 years
