horizon,mse,r_squared,rmse,maturity
8,1.2193365872673139,0.8152355031578598,1.104235748048085,0.5 years
9,1.452260508536796,0.7790761586068352,1.2050977174224486,0.5 years
10,1.6960249661724869,0.7411473874223289,1.302315233026354,0.5 years
11,1.9473155466150625,0.7016191474432847,1.3954624848468922,0.5 years
12,2.200806442436558,0.6614621406703569,1.4835115242007924,0.5 years
13,2.4547984315344853,0.621095393958633,1.5667796371967837,0.5 years
14,2.7003608956855376,0.5817740225845165,1.643277485905998,0.5 years
15,2.944580271973692,0.5424371496155502,1.7159779345824038,0.5 years
16,3.1792778120941296,0.5052562073873779,1.7830529470809693,0.5 years
17,3.41307726032361,0.46824456947527116,1.8474515583158357,0.5 years
18,3.645656035697988,0.4310002729971403,1.9093601115813612,0.5 years
19,3.871103044587744,0.39534321247664317,1.967511891854213,0.5 years
20,4.085509013219886,0.36154340977788335,2.0212642116309003,0.5 years
21,4.283634097618176,0.33100012928823885,2.0696942038905592,0.5 years
22,4.473582516754901,0.30152634834850356,2.1150845176386923,0.5 years
23,4.64983160978846,0.274326158967651,2.1563468203859184,0.5 years
24,4.8158347562617685,0.24856659599064468,2.1945010267169547,0.5 years
25,4.97767117252474,0.22316973268014173,2.231069513153891,0.5 years
26,5.126797373884828,0.19979538257132545,2.2642432232171585,0.5 years
27,5.261668059157766,0.1788434833608089,2.2938326135875227,0.5 years
28,5.386265363267545,0.15899688372184928,2.3208329029181622,0.5 years
29,5.5002588287392875,0.14036528617028354,2.345263061735141,0.5 years
30,5.605894665595591,0.12257218955252636,2.3676770610865816,0.5 years
31,5.695822026942099,0.10770714056290043,2.3865921366966116,0.5 years
32,5.775939312089529,0.09380967530444484,2.4033183959037823,0.5 years
33,5.848948626938622,0.0806249543017653,2.418459970092253,0.5 years
34,5.923095009817892,0.06580626044949345,2.433740949611912,0.5 years
35,5.979773231567933,0.05578024335899656,2.445357485433967,0.5 years
36,6.02820524097931,0.04671815059483342,2.4552403631781776,0.5 years
37,6.067247933801025,0.03896052816080364,2.463178421024556,0.5 years
38,6.095759567072667,0.03315728311731592,2.468959207251644,0.5 years
39,6.106830114179307,0.030632542760503867,2.4712001364072695,0.5 years
40,6.11588729535899,0.02785776776243898,2.47303200451571,0.5 years
41,6.120462447106683,0.024970819767400343,2.4739568401867245,0.5 years
42,6.122735377631951,0.02099157028335852,2.4744161690451247,0.5 years
43,6.118539004008707,0.018404570460237468,2.4735680714321786,0.5 years
44,6.1122387608233,0.014725645479183092,2.472294230228939,0.5 years
45,6.105537478731667,0.009719596811947118,2.4709385825494867,0.5 years
46,6.096091176529595,0.005173957263631013,2.469026362056427,0.5 years
47,6.084638330408589,0.0006917785937285981,2.4667059675625285,0.5 years
48,6.0757663353069695,-0.0063917603856424865,2.4649069628095437,0.5 years
49,6.068523299223885,-0.015025105475717115,2.463437293544101,0.5 years
50,6.0649164367291,-0.025642413380442486,2.462705105514889,0.5 years
51,6.065773697808236,-0.03895630061660538,2.4628791480314733,0.5 years
52,6.067399581436688,-0.054551130440891216,2.4632092037495896,0.5 years
53,6.070053466603898,-0.06826422389231301,2.4637478496396295,0.5 years
54,6.075859119976419,-0.08202017848676268,2.4649257838678267,0.5 years
55,6.084999773672905,-0.09314909038933505,2.466779230833782,0.5 years
56,6.094478029630145,-0.1033070005061889,2.4686996637157272,0.5 years
57,6.109533253377641,-0.11655753489007559,2.4717470043225784,0.5 years
58,6.1315939007737414,-0.1321898816752729,2.4762055449363936,0.5 years
59,6.1555563839530505,-0.14675410529342336,2.4810393757361147,0.5 years
60,6.183399188256378,-0.16128802080913918,2.4866441619693758,0.5 years
1,0.21196873016938558,0.980365285398242,0.4604006192104715,1.0 years
2,0.5162190016927288,0.9522218790875676,0.7184838214551034,1.0 years
3,0.8034361969685799,0.9256935466548927,0.8963460252428076,1.0 years
4,1.05312825461879,0.9026732590243488,1.0262203733208526,1.0 years
